"CODE_INSEE";"N_REDEVABLES_2014";"PATRIMOINE_2014";"IMPOT_2014";"N_REDEVABLES_2015";"PATRIMOINE_2015";"IMPOT_2015";"N_REDEVABLES_2016";"PATRIMOINE_2016";"IMPOT_2016";"COM_FINAL";"P14_POP";"P14_LOG";"P14_RP";"P14_RSECOCC";"P14_LOGVAC";"P14_PMEN"
"01053";161;2094947;7644;161;2180489,81987578;7894,04347826087;168;2245649,4702381;8327,39285714286;"BOURG-EN-BRESSE";40967;22945,7255800734;20089,4450351052;466,97766844422;2389,30287652398;38586,9732751899
"01283";91;2901576;11369;91;2994692,96703297;11458,6923076923;89;3179724;11546,8651685393;"OYONNAX";22485;10837,5038700338;9393,08652857859;215,470440181571;1228,94690127367;22212,6665544629
"02408";67;2268186;7280;66,0184761406524;2309092,70850771;7497,76965628603;67,0031688042378;2329849,25309449;7502,56537338037;"LAON";25282;13605,211103366;12054,1428871347;157,627094289208;1393,44112194206;23946,9766198284
"02691";153;2554804;10878;154,062534629901;2508228,8559042;10559,3992543244;150,011090814832;2663027,80351886;11982,2705542361;"SAINTQUENTIN";55878;29928,4121074139;26338,3571169512;243,599385208818;3346,4556052539;54560,7404015888
"02722";157;2392208;9905;170,061113388312;2488803,81526563;11233,991380634;162,010411785353;2523700,83712233;11295,3051409248;"SOISSONS";28290;14634,4108958246;13325,6897176971;184,780370472174;1123,94080765531;27595,0046471882
"03185";115;2229932;7076;113;2592185,48672566;8478,1592920354;116;2607048,5862069;9145,27586206897;"MONTLUCON";37289;24060,6262589581;19653,8804966294;457,1981742403;3949,54758808835;35308,5789830096
"03190";NA;NA;NA;NA;NA;NA;62;2584268;10450,3387096774;"MOULINS";19762;12599,2009943871;10747,5853443682;295,751741795815;1555,86390822313;18885,9836173084
"03310";160;2422487;8697;166;2472993,11445783;9344,88554216867;171;2417506,23976608;8617,0701754386;"VICHY";25279;20972,0547400742;15073,6904253197;1640,12043135214;4258,24388340232;24685,997846514
"04112";130;2416721;12382;135;2438748,24444444;11706,5777777778;131;2495626,19083969;11893,1450381679;"MANOSQUE";21941;12326,2046618559;10419,2268576354;367,263432062957;1539,71437215754;21354,4603029729
"05061";208;2274955;7852;205;2320903,30731707;7325,11219512195;214;2380851,30841121;7916,21962616822;"GAP";40225;21810,6047278028;19015,7363559616;812,659891208985;1982,20848063219;39008,2798072301
"06004";912;2480660;9902;946;2535596,90909091;10174,3319238901;980,018035908434;2552434,19868885;10386,3752583676;"ANTIBES";75731;61412,8058426816;37432,4739107165;19941,2263919378;4039,10554002735;74368,2095806566
"06027";388;2192879;8460;386;2232023,88860104;8788,13212435233;399,004612236126;2240989,91190656;8381,67983341451;"CAGNESSURMER";47811;30356,5820733974;23432,2150407287;5049,74683639719;1874,62019627149;46911,9968511623
"06029";1478;3051483;13695;1492;3080077,6849866;13643,7835120643;1497,03689788901;3092357,80203969;14090,2354270294;"CANNES";73744;71545,6498869417;38189,7032880688;30389,3322893013;2966,61430957156;71550,371415023
"06030";359;2578026;11392;371;2590332,21293801;11033,884097035;382,006952773862;2545566,47907516;10863,2635239029;"LECANNET";42454;26115,630313324;21449,3780576323;3723,79888294648;942,453372745224;41452,9939184983
"06069";320;2437843;10528;333;2434023,81981982;10172,963963964;330,005438308268;2426589,42258678;10224,8860422977;"GRASSE";50409;25741,9054837834;21342,573434097;1777,08521150496;2622,2468381814;48258,0095257248
"06079";344;2314276;9129;353;2361582,5184136;9513,73654390935;353,00626438041;2400587,08988247;9914,42969390379;"MANDELIEULANAPOULE";22696;20956,6321232957;11801,4621234377;8062,54476864049;1092,62523121752;22453,6639535929
"06083";204;2309100;9163;217;2296533,22119816;8185,65898617512;224,003166609878;2245748,77030226;8251,36068872425;"MENTON";28563;28202,5412340258;13714,1324295914;12169,9977355105;2318,41106892391;28097,998601889
"06088";2876;2498126;10231;2973;2573620,45980491;10365,6061217625;3064,05314397447;2553794,72584002;10512,0080833648;"NICE";343895;226720,207726093;167473,276418161;29297,5226421563;29949,4086657756;335043,989021616
"06123";198;2291829;9445;202;2281756,57920792;9313,82178217822;212,002822413152;2325973,91333627;9927,33230918229;"SAINTLAURENTDUVAR";29067;17452,4227604402;13903,2188008955;1996,25482026399;1552,9491392807;28836,6679462802
"06155";313;2407427;9082;331;2465346,52265861;9804,95468277946;335,005507147613;2578577,64888091;10828,6758493112;"VALLAURIS";26302;19582,4425722027;11913,5423944352;5836,89155839638;1832,00861937112;25921,0018365558
"06900";514;3866927;27165;558;3835626,17562724;26789,1433691756;578,028430649552;3881018,47975507;27093,7350707828;"MONACO";NA;NA;NA;NA;NA;NA
"08105";127;2172691;7901;133;2234331,94736842;7988,23308270677;129;2266679,98449612;8462,3023255814;"CHARLEVILLEMEZIERES";48615;26071,3327846365;23413,5440774789;232,816210951427;2424,97249620618;46882,0123766891
"10387";210;2844484;12961;215;2823187,64186047;12436,3348837209;210,427569688631;2847662,26097709;14794,5878715704;"TROYES";60750;36294,1764696517;31478,9654486545;878,968632782396;3936,24238821479;58867,9894495343
"11069";138;2281341;8623;138;2310152,41304348;9097,89855072464;147;2357345,50340136;8965,30612244898;"CARCASSONNE";45941;26944,000932735;22097,2717820067;861,981053076722;3984,74809765153;44426,9999360934
"11262";164;2374037;8775;168;2408426,99404762;8930,25;183;2384716,84699454;8693,04371584699;"NARBONNE";52855;34872,1561755002;25704,6391384007;5677,10666046357;3490,41037663592;51754,9933166113
"12145";67;2498838;9498;65;2730494,47692308;11983,2769230769;71;2585696,46478873;10792,5774647887;"MILLAU";22064;12749,1587503269;10607,8475314832;807,383075329689;1333,92814351406;21450,6835463622
"12202";137;2418216;10217;147;2324393,73469388;9553,63945578231;149;2337404,34228188;8757,43624161074;"RODEZ";24088;15827,3462439381;13073,3178959067;466,094293503046;2287,93405452831;23083,2981898213
"13001";1809;2730096;11080;1872,31552792022;2734937,54172802;10691,7646179373;1931,26782900042;2802328,61033021;10790,351795451;"AIXENPROVENCE";142149;80511,8846684554;69017,8604885269;3927,41811061662;7566,60606931183;134404,029395425
"13002";127;2146669;7774;127;2236012,20472441;8691,14173228346;123,084785716401;2360917,76497207;8768,76982272395;"ALLAUCH";21481;8984,88554662427;8552,56336266013;123,651044029607;308,671139934536;21096,0051521349
"13004";181;2438664;9800;193,029904967293;2350865,2514655;9244,94834695873;191,023545406631;2407501,50112291;9619,83177972933;"ARLES";52697;27272,443732774;24108,401006387;1021,41573419316;2142,62699219385;51774,5384300134
"13005";219;2419238;10109;231;2381829,64935065;10096,4718614719;230,204256498603;2415144,39834302;9115,83425833068;"AUBAGNE";45128;21025,1195221599;18722,9458295257;353,746090110378;1948,42760252385;43213,98778147
